Enolièna ID številka kaznivega dejanja;Mesec in leto prejema ovadbe;Vrsta Ovaditelja;Starost storilca;Spol storilca M/Ž;Tip kaznivega dejanja;Tip oškodovanc;Vrsta škode/koristi;Višina škode/koristi;Status kaznivega dejanja
--------------------------------------;----------------------------;----------------;----------------;-----------------;---------------------;--------------;-------------------;--------------------;------------------------
;0000-00;NULL;NULL;NULL;12539024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12539024;6;NULL;.00;0
;0000-00;1;NULL;NULL;12539024;6;NULL;.00;0
;0000-00;1;NULL;NULL;12539024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12543013;6;NULL;10.00;0
;0000-00;1;NULL;NULL;12543013;6;NULL;10.00;0
;0000-00;0;NULL;NULL;12548013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12548013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12548013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12548013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12577023;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12577023;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;100.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;50.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;100.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;50.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;100.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;50.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;100.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;1500.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;50.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;100.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;1500.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;150.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;150.00;0
;0000-00;1;NULL;NULL;12596013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596024;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596024;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596024;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;3;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;3;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;3;NULL;NULL;12596024;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596024;NULL;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596024;NULL;NULL;.00;0
;0000-00;NULL;NULL;NULL;12597024;6;NULL;.00;0
;0000-00;1;NULL;NULL;12597024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12597024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12597024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12597024;6;NULL;.00;0
;0000-00;3;NULL;NULL;12599013;NULL;NULL;63.70;0
;0000-00;NULL;NULL;NULL;12599013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12599013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12599013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12599013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12599013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12600023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12601034;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12601034;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12601034;6;NULL;.00;0
;0000-00;1;NULL;NULL;12601034;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12601034;6;NULL;.00;0
;0000-00;1;NULL;NULL;12602003;6;NULL;300.00;0
;0000-00;1;NULL;NULL;12602003;6;NULL;230.00;0
;0000-00;1;NULL;NULL;12602003;6;NULL;.00;0
;0000-00;1;NULL;NULL;12602003;6;NULL;.00;0
;0000-00;1;NULL;NULL;12602003;NULL;NULL;.00;0
;0000-00;1;NULL;NULL;12602003;NULL;NULL;.00;0
;0000-00;1;NULL;NULL;12602003;6;NULL;.00;0
;0000-00;1;NULL;NULL;12602003;6;NULL;.00;0
;0000-00;2;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12596013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12604013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12604024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12604024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12608013;6;NULL;160.89;0
;0000-00;1;NULL;NULL;12609013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12608013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12608013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12608013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12608013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12609013;NULL;NULL;NULL;0
;0000-00;2;NULL;NULL;12609013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12609013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12609013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12609013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12609013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12609013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12609013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12609013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12608016;6;NULL;34.50;0
;0000-00;2;NULL;NULL;12608053;6;NULL;280.00;0
;0000-00;NULL;NULL;NULL;12611013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12609054;6;NULL;1400.00;0
;0000-00;NULL;NULL;NULL;12609054;6;NULL;1400.00;0
;0000-00;NULL;NULL;NULL;12611013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12611013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12611013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12611013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12611013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12611013;6;NULL;50.00;0
;0000-00;1;NULL;NULL;12611013;6;NULL;50.00;0
;0000-00;NULL;NULL;NULL;12611016;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12611016;6;NULL;.00;0
;0000-00;1;NULL;NULL;12611016;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12611016;6;NULL;.00;0
;0000-00;1;NULL;NULL;12611024;6;NULL;120808.17;0
;0000-00;NULL;NULL;NULL;12611024;6;NULL;120808.17;0
;0000-00;NULL;NULL;NULL;12611024;6;NULL;120808.17;0
;0000-00;NULL;NULL;NULL;12611024;6;NULL;120808.17;0
;0000-00;1;NULL;NULL;12611034;6;NULL;30.00;0
;0000-00;NULL;NULL;NULL;12614003;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12614003;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12615013;6;NULL;20.00;0
;0000-00;1;NULL;NULL;12616013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12616013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12619023;6;NULL;.00;0
;0000-00;7;NULL;NULL;12619023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12620013;6;NULL;400.00;0
;0000-00;1;NULL;NULL;12620013;6;NULL;400.00;0
;0000-00;1;NULL;NULL;12623013;6;NULL;1000.00;0
;0000-00;NULL;NULL;NULL;12623023;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12626014;6;NULL;100.00;0
;0000-00;1;NULL;NULL;12626014;6;NULL;100.00;0
;0000-00;NULL;NULL;NULL;12626014;6;NULL;100.00;0
;0000-00;NULL;NULL;NULL;12627013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12627013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;250.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;2;NULL;NULL;12628013;6;NULL;617.04;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12627013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12627013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;45000.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;40.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;2000.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;11000.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;7;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;120.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;120.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;8000.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;8000.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;617.04;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;400.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;100.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;1400.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;500.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;500.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;200.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;7400.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;17000.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;17000.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;0;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;2;NULL;NULL;12628024;NULL;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628024;6;NULL;16000.00;0
;0000-00;NULL;NULL;NULL;12628024;6;NULL;16000.00;0
;0000-00;NULL;NULL;NULL;12628024;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628024;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;100.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;100.00;0
;0000-00;1;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628013;6;NULL;1400.00;0
;0000-00;1;NULL;NULL;12628013;6;NULL;1400.00;0
;0000-00;NULL;NULL;NULL;12628013;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12628024;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12628024;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628034;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628034;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628034;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12628034;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12628034;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12629034;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12629034;6;NULL;400.00;0
;0000-00;NULL;NULL;NULL;12629034;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12629034;6;NULL;.00;0
;0000-00;1;NULL;NULL;12629034;6;NULL;.00;0
;0000-00;1;NULL;NULL;12629034;6;NULL;400.00;0
;0000-00;1;NULL;NULL;12629034;6;NULL;.00;0
;0000-00;1;NULL;NULL;12629034;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12629035;NULL;NULL;.00;0
;0000-00;NULL;NULL;NULL;12633013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12633013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12633013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12635013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12635013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12635013;6;NULL;79.56;0
;0000-00;NULL;NULL;NULL;12635013;6;NULL;600.00;0
;0000-00;NULL;NULL;NULL;12635013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12635013;6;NULL;79.56;0
;0000-00;1;NULL;NULL;12635013;6;NULL;600.00;0
;0000-00;NULL;NULL;NULL;12635013;NULL;NULL;NULL;0
;0000-00;0;NULL;NULL;12635013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12635013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12635023;6;NULL;250.00;0
;0000-00;NULL;NULL;NULL;12635023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12635023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12635023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12635023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12635023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12635023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12635023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12635023;6;NULL;.00;0
;0000-00;3;NULL;NULL;12635013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12635013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12635023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12635023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12636023;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12636023;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12640013;6;NULL;350.00;0
;0000-00;NULL;NULL;NULL;12640024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12640024;6;NULL;.00;0
;0000-00;1;NULL;NULL;12640024;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12641013;6;NULL;20960.00;0
;0000-00;NULL;NULL;NULL;12642013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12644023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12644023;6;NULL;.00;0
;0000-00;1;NULL;NULL;12644023;6;NULL;.00;0
;0000-00;1;NULL;NULL;12644023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12645034;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12645034;6;NULL;.00;0
;0000-00;1;NULL;NULL;12645034;6;NULL;.00;0
;0000-00;1;NULL;NULL;12645034;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12645034;NULL;NULL;NULL;0
;0000-00;0;NULL;NULL;12645034;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12645034;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12645034;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12649013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12649013;6;NULL;270.00;0
;0000-00;0;NULL;NULL;12635023;6;NULL;.00;0
;0000-00;3;NULL;NULL;12649013;6;NULL;270.00;0
;0000-00;NULL;NULL;NULL;12650023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12650023;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12650023;6;NULL;.00;0
;0000-00;1;NULL;NULL;12651013;6;NULL;.00;0
;0000-00;0;NULL;NULL;12651033;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12652014;NULL;NULL;NULL;0
;0000-00;NULL;NULL;NULL;12652014;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12652033;6;NULL;200.00;0
;0000-00;NULL;NULL;NULL;12652033;6;NULL;200.00;0
;0000-00;NULL;NULL;NULL;12652033;6;NULL;200.00;0
;0000-00;NULL;NULL;NULL;12653013;6;NULL;.00;0
;0000-00;0;NULL;NULL;12652014;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12653023;6;NULL;.00;0
;0000-00;0;NULL;NULL;12653023;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12655013;6;NULL;1270.00;0
;0000-00;1;NULL;NULL;12655013;6;NULL;1270.00;0
;0000-00;NULL;NULL;NULL;12657033;6;NULL;400.00;0
;0000-00;NULL;NULL;NULL;12657033;6;NULL;155.00;0
;0000-00;NULL;NULL;NULL;12685013;6;NULL;.00;0
;0000-00;0;NULL;NULL;12685013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12710013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12710013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12714013;6;NULL;.00;0
;0000-00;1;NULL;NULL;12714013;6;NULL;.00;0
;0000-00;NULL;NULL;NULL;12732014;NULL;NULL;.00;0
;0000-00;1;NULL;NULL;12732014;NULL;NULL;.00;0
;0000-00;1;NULL;NULL;12738013;6;NULL;850.00;0
;0000-00;NULL;NULL;NULL;12741024;NULL;NULL;NULL;0
;0000-00;1;NULL;NULL;12741024;NULL;NULL;NULL;0
;0000-00;2;12;m;12522013;6;NULL;.00;0
;0000-00;NULL;12;m;12522013;NULL;NULL;NULL;0
;0000-00;NULL;12;m;12522013;NULL;NULL;NULL;0
;0000-00;NULL;12;m;12696013;6;NULL;.00;0
;0000-00;NULL;12;m;12696013;6;NULL;.00;0
;0000-00;NULL;13;m;12644023;6;NULL;.00;0
;0000-00;1;13;m;12644023;6;NULL;.00;0
;0000-00;0;NULL;m;12685013;6;NULL;.00;0
;0000-00;NULL;NULL;m;12689003;6;NULL;.00;0
;0000-00;NULL;NULL;m;12689003;6;NULL;.00;0
;0000-00;1;NULL;m;12696013;NULL;NULL;NULL;0
;0000-00;1;NULL;m;12696024;6;NULL;.00;0
;0000-00;NULL;NULL;m;12708033;6;NULL;.00;0
;0000-00;NULL;NULL;m;12685013;6;NULL;.00;0
;0000-00;NULL;NULL;m;12683013;6;NULL;.00;0
;0000-00;NULL;NULL;m;12684013;NULL;NULL;NULL;0
;0000-00;NULL;NULL;m;12684013;6;NULL;.00;0
;0000-00;NULL;NULL;m;12684013;6;NULL;2000.00;0
;0000-00;NULL;NULL;m;12657033;6;NULL;.00;0
;0000-00;NULL;NULL;m;12657033;6;NULL;1500.00;0
;0000-00;NULL;NULL;m;12657033;6;NULL;700.00;0
;0000-00;7;NULL;m;12657013;6;NULL;.00;0
;0000-00;NULL;NULL;m;12657033;6;NULL;.00;0
;0000-00;0;NULL;m;12658003;6;NULL;.00;0
