Enolièna ID številka kaznivega dejanja;Mesec in leto prejema ovadbe;Vrsta Ovaditelja;Starost storilca;Spol storilca M/Ž;Kazenski zakonik;Šifra kaznivega dejanja;Tip oškodovanc;Vrsta škode/koristi;Višina škode/koristi;Status kaznivega dejanja
--------------------------------------;----------------------------;----------------;----------------;-----------------;----------------;-----------------------;--------------;-------------------;--------------------;------------------------
;2008-5;2;33;m;KZ;127010;NULL;0;NULL;D1552
;2016-9;1;16;m;KZ-1;205011;6;0;100.00;D1552
;2016-9;1;16;m;KZ-1;205011;6;0;.00;D1552
;2016-9;1;15;m;KZ-1;205011;6;0;.00;D1552
;2016-9;1;45;m;KZ-1;228021;6;0;39000.00;D0073
;2016-9;1;NULL;;KZ-1;228021;6;0;1500.00;D0073
;2016-9;1;45;m;KZ-1;226011;6;0;7000.00;D0073
;2016-9;1;49;m;KZ-1;122010;6;0;8.00;D0073
;2016-9;3;54;ž;KZ-1;192020;NULL;0;NULL;D0073
;2016-9;1;48;m;KZ-1;296010;6;0;.00;D0073
;2016-9;7;17;m;KZ-1;205011;6;0;.00;D0073
;2016-9;1;31;m;KZ-1B;135021;6;0;.00;D0073
;2016-9;1;17;m;KZ-1;204021;NULL;0;NULL;D0073
;2016-9;1;39;m;KZ-1;205011;6;0;.00;D0073
;2016-10;1;62;m;KZ-1;204010;NULL;0;NULL;D0073
;2016-10;1;60;m;KZ-1;286010;6;0;.00;D0073
;2016-10;1;55;ž;KZ-1;205011;NULL;0;NULL;D0073
;2016-10;7;NULL;ž;KZ-1;172021;6;0;20.00;D0073
;2016-10;1;33;m;KZ-1;228010;6;0;.00;D0073
;2016-10;1;29;m;KZ-1;296021;6;0;100.00;D0073
;2016-10;1;18;m;KZ-1;296021;6;0;.00;D0073
;2016-10;1;21;m;KZ-1;296021;6;0;.00;D0073
;2016-10;1;46;m;KZ-1;236010;6;0;.00;D0073
;2016-10;1;NULL;;KZ-1B;135010;6;0;.00;D0073
;2016-10;2;56;m;KZ-1;186010;6;0;.00;D0073
;2016-10;1;34;m;KZ-1B;135021;6;0;.00;D0073
;2016-5;1;NULL;;KZ-1;228010;6;0;.54;D0073
;2016-5;7;53;m;KZ-1;251010;6;0;.00;D0073
;2016-5;1;59;m;KZ-1;228010;6;0;107730.66;D0073
;2016-6;1;NULL;m;KZ-1B;135021;6;0;.00;D0073
;2016-6;1;29;m;KZ-1;205013;6;0;.00;D0073
;0000-00;NULL;66;m;KZ-1;258000;6;0;.00;D0073
;2016-5;0;31;ž;KZ-1;192010;6;0;39.99;D0073
;2016-6;1;25;m;KZ-1;205011;NULL;0;NULL;D0073
;2016-6;1;38;ž;KZ-1;190010;NULL;0;NULL;D0073
;2016-6;1;30;m;KZ-1;240010;6;0;.00;D0073
;2016-6;1;53;m;KZ-1;208050;6;0;.00;D0073
;2016-6;0;48;m;KZ-1;216020;6;0;.00;D0073
;2016-6;0;26;m;KZ-1;192020;NULL;0;NULL;D0073
;2016-7;1;45;m;KZ-1B;217021;6;0;.00;D0073
;2016-7;1;50;m;KZ-1C;135010;NULL;0;NULL;D0073
;2016-7;1;56;ž;KZ-1;284020;NULL;0;NULL;D0073
;2016-7;1;62;m;KZ-1;284020;6;0;.00;D0073
;2016-7;1;17;m;KZ-1;122010;6;0;.00;D0073
;2016-2;1;NULL;;KZ-1;196010;6;0;.00;D0073
;2016-8;1;16;m;KZ-1;122021;6;0;398.00;D0073
;2016-8;1;22;m;KZ-1B;135021;6;0;.00;D0073
;2016-8;1;33;m;KZ-1;194010;6;0;.00;D0073
;2016-8;1;17;m;KZ-1;176030;6;0;.00;D0073
;2016-8;1;32;m;KZ-1;211051;6;0;.00;D0073
;2016-7;1;44;m;KZ-1;191010;6;0;.00;D0073
;2017-10;1;55;ž;KZ-1;204021;6;0;NULL;D0073
;2015-12;1;NULL;;KZ-1;201042;6;0;NULL;D0073
;2017-11;1;49;m;KZ-1;220010;6;0;NULL;D0073
;2017-11;1;69;m;KZ-1;204021;6;0;NULL;D0073
;2017-11;1;61;m;KZ-1B;127010;6;0;NULL;D0073
;2017-11;1;70;m;KZ-1;204021;6;0;.00;D0073
;2017-11;1;40;m;KZ-1;204021;6;0;NULL;D0073
;2017-11;1;67;m;KZ-1B;122010;6;0;NULL;D0073
;2017-11;1;52;m;KZ-1;204010;6;0;689.53;D0073
;2017-11;1;54;ž;KZ-1;204021;6;0;NULL;D0073
;2017-10;2;64;m;KZ-1;323010;6;0;500.00;D0073
;2017-10;1;29;m;KZ-1;141010;6;0;.00;D0073
;2017-11;1;47;m;KZ-1;204021;6;0;.00;D0073
;2017-11;1;59;m;KZ-1;204010;6;0;NULL;D0073
;2017-10;0;48;m;KZ-1;283010;NULL;0;NULL;D0073
;2017-10;0;50;m;KZ-1;284010;NULL;0;NULL;D0073
;2017-11;1;76;m;KZ-1;204021;6;0;.00;D0073
;2017-11;1;79;ž;KZ-1;204021;6;0;.00;D0073
;2017-11;1;54;m;KZ-1;204021;6;0;NULL;D0073
;2017-11;1;64;ž;KZ-1;228021;NULL;0;NULL;D0073
;2017-11;1;NULL;;KZ-1;228021;NULL;0;NULL;D0073
;2017-11;1;55;m;KZ-1;211051;NULL;0;NULL;D0073
;2017-11;1;24;m;KZ-1;208050;6;0;NULL;D0073
;2017-11;7;47;m;KZ-1B;220010;6;0;.00;D0073
;2017-11;1;27;m;KZ-1;204021;6;0;NULL;D0073
;2017-11;7;26;m;KZ-1;204021;6;0;NULL;D0073
;2017-11;7;40;m;KZ-1;192010;6;0;6000.00;D0073
;2017-11;1;41;m;KZ-1;135020;6;0;NULL;D0073
;2017-11;1;41;m;KZ-1B;135021;NULL;0;NULL;D0073
;2017-11;1;64;m;KZ-1B;135010;6;0;NULL;D0073
;2017-12;7;35;m;KZ-1;204021;6;0;NULL;D0073
;2017-12;1;52;m;KZ-1;158010;6;0;NULL;D0073
;2017-12;0;42;m;KZ-1;141010;6;0;NULL;D0073
;2017-12;1;27;m;KZ-1;138010;6;0;NULL;D0073
;2017-12;1;68;m;KZ-1;204010;2;0;NULL;D0073
;2017-8;1;36;ž;KZ-1;202000;6;0;.00;D0073
;2017-8;1;36;ž;KZ-1;213010;6;0;NULL;D0073
;2017-8;1;36;ž;KZ-1;211031;6;0;.00;D0073
;2017-8;1;36;ž;KZ-1;253010;6;0;1500.00;D0073
;2017-9;1;54;m;KZ-1;257030;6;0;NULL;D0073
;2017-3;1;NULL;;KZ-1B;217010;6;0;NULL;D0073
;2017-3;1;NULL;m;KZ-1B;217010;6;0;.00;D0073
;2017-5;1;40;ž;KZ-1;228010;6;0;NULL;D0073
;2017-5;1;NULL;;KZ-1;228010;6;0;4303.30;D0073
;2017-12;2;27;m;KZ-1B;143040;6;0;NULL;D0073
;2017-10;1;50;m;KZ-1;257030;6;0;95000.00;D0073
;2016-4;1;NULL;;KZ-1;228010;6;0;69.97;D0073
;2016-4;0;50;m;KZ-1;258000;6;0;.00;D0073
;2016-4;1;53;m;KZ-1;211010;6;0;.00;D0073
;2016-4;1;29;ž;KZ-1B;135021;6;0;.00;D0073
;2016-3;1;63;m;KZ-1;208010;6;0;169.00;D0073
;2016-5;1;22;m;KZ-1;208010;NULL;0;NULL;D0073
;2016-5;1;54;m;KZ-1B;135010;NULL;0;NULL;D0073
;2016-5;1;25;m;KZ-1;220010;6;0;.00;D0073
;2016-10;2;NULL;m;KZ-1;186020;6;0;.00;D0073
;2007-4;2;27;m;KZ;311053;NULL;0;.00;D0073
;2012-4;2;47;m;KZ-1;308053;6;0;.00;D0073
;2013-7;1;25;m;KZ-1;207021;6;0;.00;D0073
;2008-8;1;26;m;KZ;252010;NULL;0;.00;D0073
;2008-8;1;NULL;;KZ;244021;NULL;0;NULL;D0073
;2008-8;1;NULL;;KZ;254020;NULL;0;NULL;D0073
;2008-8;1;NULL;;KZ;256010;NULL;0;NULL;D0073
;2013-4;3;NULL;;KZ-1;196010;NULL;0;NULL;D0073
;2014-2;2;49;m;KZ-1;251010;NULL;0;NULL;D0073
;2014-6;1;NULL;m;KZ-1;196021;6;0;611.18;D0073
;2012-10;2;34;ž;KZ-1;186010;NULL;0;NULL;D0073
;2012-10;2;53;m;KZ-1;186010;NULL;0;.00;D0073
;2012-10;2;21;m;KZ-1;186010;NULL;0;.00;D0073
;2012-10;2;19;m;KZ-1;186010;NULL;0;.00;D0073
;2012-10;2;30;m;KZ-1;186010;NULL;0;NULL;D0073
;2012-10;2;36;m;KZ-1;186010;3;0;.00;D0073
;2012-10;2;30;;KZ-1;186010;NULL;0;NULL;D0073
;2012-10;2;33;m;KZ-1;186010;3;0;.00;D0073
;2012-10;2;34;m;KZ-1;186010;NULL;0;.00;D0073
;2012-10;2;36;m;KZ-1;186010;NULL;0;NULL;D0073
;2012-10;2;36;m;KZ-1;186010;NULL;0;.00;D0073
;2012-10;2;35;m;KZ-1;186010;NULL;0;.00;D0073
;2012-10;2;26;ž;KZ-1;186010;NULL;0;.00;D0073
;2012-10;2;36;m;KZ-1;186010;NULL;0;NULL;D0073
;2012-10;2;31;m;KZ-1;186010;NULL;0;.00;D0073
;2012-10;2;38;m;KZ-1;186010;NULL;0;.00;D0073
;2012-10;2;32;m;KZ-1;186010;NULL;0;.00;D0073
;2012-10;2;32;m;KZ-1;186010;NULL;0;NULL;D0073
;2012-10;2;26;m;KZ-1;186010;NULL;0;NULL;D0073
;2012-10;2;35;m;KZ-1;186010;NULL;0;NULL;D0073
;2012-10;2;27;m;KZ-1;186010;NULL;0;NULL;D0073
;2012-10;2;33;m;KZ-1;186010;NULL;0;.00;D0073
;2012-10;2;60;m;KZ-1;186010;NULL;0;.00;D0073
;2011-11;2;30;m;KZ-1;228010;NULL;0;.00;D0073
;2011-11;2;NULL;;KZ-1;228010;NULL;0;.00;D0073
;2014-9;1;35;m;KZ-1;205013;6;0;.00;D0073
;2014-11;2;52;m;KZ-1;323010;6;0;1000.00;D0073
;2016-10;0;NULL;;KZ-1;257010;6;0;300.00;D0073
;2016-11;1;37;m;KZ-1B;135010;6;0;.00;D0073
;2016-11;1;40;m;KZ-1;204021;6;0;.00;D0073
;2016-11;1;26;m;KZ-1;122010;6;0;.00;D0073
;2016-11;1;20;ž;KZ-1;204021;6;0;.00;D0073
;2016-11;1;35;m;KZ-1;209010;6;0;500.00;D0073
;2016-11;1;16;m;KZ-1;204021;6;0;.00;D0073
;2016-11;1;64;m;KZ-1;220010;6;0;.00;D0073
;2016-11;1;23;m;KZ-1;220010;NULL;0;NULL;D0073
;2016-11;1;23;m;KZ-1B;135010;6;0;.00;D0073
;0000-00;NULL;53;ž;KZ-1;288010;6;0;.00;D0073
;0000-00;NULL;52;;KZ-1;288010;6;0;.00;D0073
;0000-00;NULL;51;ž;KZ-1;288010;6;0;.00;D0073
;0000-00;NULL;41;;KZ-1;288010;6;0;.00;D0073
;2016-11;1;31;m;KZ-1;122010;NULL;0;NULL;D0073
;2016-11;1;51;m;KZ-1;191010;6;0;.00;D0073
;2016-11;1;52;m;KZ-1;208050;NULL;0;NULL;D0073
;2016-11;1;41;ž;KZ-1;211051;NULL;0;NULL;D0073
;2016-10;1;55;m;KZ-1;205011;NULL;0;NULL;D0073
;2016-12;1;34;m;KZ-1;205011;6;0;.00;D0073
;2016-12;1;15;m;KZ-1;210010;6;0;.00;D0073
;2016-12;2;35;m;KZ-1;186010;6;0;1000.00;D0073
;2016-12;1;34;ž;KZ-1;190010;6;0;.00;D0073
;2016-12;1;17;m;KZ-1;208010;6;0;.00;D0073
;2016-12;1;33;m;KZ-1B;135021;NULL;0;NULL;D0073
;2016-12;1;46;m;KZ-1;284010;6;0;.00;D0073
;2016-12;1;NULL;m;KZ-1;284010;6;0;700.00;D0073
;2016-12;1;50;m;KZ-1;138010;6;0;.00;D0073
;2016-12;1;14;m;KZ-1;204021;6;0;.00;D0073
;2016-12;1;14;ž;KZ-1;204021;6;0;250.00;D0073
;2016-12;1;53;ž;KZ-1C;134110;6;0;200.00;D0073
;2016-12;7;36;m;KZ-1;204021;6;0;2000.00;D0073
;2017-1;1;49;;KZ-1;257010;6;0;261.00;D0073
;2017-1;1;49;;KZ-1;144021;6;0;.00;D0073
;2017-1;1;49;;KZ-1;202000;NULL;0;NULL;D0073
;2017-1;1;49;;KZ-1;213010;NULL;0;NULL;D0073
;2017-1;1;49;;KZ-1;143010;NULL;0;NULL;D0073
;2017-1;1;49;;KZ-1;216010;NULL;0;NULL;D0073
;2017-1;1;49;;KZ-1;211010;NULL;0;NULL;D0073
;2017-1;1;49;;KZ-1;288010;NULL;0;NULL;D0073
;2017-1;1;49;;KZ-1;253010;NULL;0;NULL;D0073
;2017-1;1;49;;KZ-1;260010;6;0;100.00;D0073
;2017-1;0;28;m;KZ-1;205011;6;0;.00;D0073
;2016-6;1;NULL;m;KZ-1;257030;6;0;.00;D0073
;2016-6;1;37;ž;KZ-1;257030;6;0;600.00;D0073
;2016-6;1;45;m;KZ-1;257030;6;0;.00;D0073
;0000-00;NULL;49;;KZ-1;202000;6;0;200.00;D0073
;0000-00;NULL;NULL;;KZ-1;202000;6;0;110.00;D0073
;0000-00;NULL;57;ž;KZ-1B;216010;6;0;110.00;D0073
;0000-00;NULL;NULL;;KZ-1B;216010;6;0;110.00;D0073
;0000-00;NULL;49;;KZ-1B;288010;6;0;.00;D0073
;0000-00;NULL;NULL;;KZ-1B;288010;6;0;.00;D0073
;2017-1;0;37;m;KZ-1;192010;6;0;.00;D0073
;2017-1;1;16;m;KZ-1;204010;NULL;0;NULL;D0073
;2017-1;1;NULL;m;KZ-1;205013;NULL;0;NULL;D0073
;2017-1;1;46;m;KZ-1;204021;6;0;.00;D0073
;2017-1;1;37;m;KZ-1;191010;6;0;.00;D0073
;2017-1;1;33;m;KZ-1;191010;6;0;.00;D0073
;2016-11;1;52;ž;KZ-1B;160021;6;0;1000.00;D0073
;2016-11;1;62;ž;KZ-1B;135010;NULL;0;NULL;D0073
;2017-1;0;34;m;KZ-1;206010;6;0;.00;D0073
;2017-1;1;36;ž;KZ-1;190010;6;0;50.00;D0073
;2017-1;1;28;m;KZ-1;191010;6;0;50.00;D0073
;2017-1;1;NULL;m;KZ-1;211051;NULL;0;NULL;D0073
;2017-1;1;56;m;KZ-1;220010;6;0;.00;D0073
;2015-1;1;NULL;;KZ-1;228021;6;0;137.97;D0073
;2017-2;1;14;m;KZ-1;173010;6;0;.00;D0073
;2017-2;1;54;m;KZ-1;260010;6;0;100.00;D0073
;2017-2;1;42;m;KZ-1;260010;6;0;365.00;D0073
;2017-2;1;22;m;KZ-1;296010;6;0;.00;D0073
;2015-10;1;31;;KZ-1;235010;6;0;129140.00;D0073
;2015-10;1;31;m;KZ-1;235010;6;0;100.00;D0073
;2017-1;1;37;m;KZ-1;173010;NULL;0;NULL;D0073
;2017-1;1;50;m;KZ-1B;135010;NULL;0;NULL;D0073
;2017-2;1;15;m;KZ-1;204021;6;0;.00;D0073
;2017-2;1;18;m;KZ-1B;135021;NULL;0;NULL;D0073
;2017-3;1;33;m;KZ-1;122010;NULL;0;NULL;D0073
;2017-3;1;50;m;KZ-1;235020;NULL;0;NULL;D0073
;2017-3;1;NULL;;KZ-1;235020;NULL;0;NULL;D0073
;2017-2;1;32;m;KZ-1;209010;NULL;0;NULL;D0073
;2017-6;1;16;m;KZ-1B;220010;6;0;145539.20;D0073
;2017-6;1;16;m;KZ-1B;220010;6;0;.00;D0073
;2017-6;1;16;m;KZ-1B;220010;6;0;.00;D0073
;2017-6;1;47;ž;KZ-1;257010;6;0;226.00;D0073
;2017-6;1;60;ž;KZ-1;220010;NULL;0;NULL;D0073
;2017-6;1;32;ž;KZ-1B;208010;6;0;NULL;D0073
;2017-6;7;76;ž;KZ-1;204021;6;0;NULL;D0073
;2017-6;1;32;ž;KZ-1;143010;6;0;NULL;D0073
;2017-5;1;34;m;KZ-1;204010;6;0;NULL;D0073
;2017-5;1;52;m;KZ-1B;135010;6;0;.00;D0073
;2017-5;1;41;ž;KZ-1;191010;6;0;1300.00;D0073
;2017-6;7;49;m;KZ-1B;220010;6;0;.00;D0073
;2017-6;7;61;m;KZ-1;204021;6;0;NULL;D0073
;2017-6;1;40;m;KZ-1;205011;6;0;.00;D0073
;2017-6;1;18;ž;KZ-1;204010;6;0;.00;D0073
;2017-6;1;70;ž;KZ-1;285021;6;0;.00;D0073
;2017-6;0;54;m;KZ-1B;284020;6;0;NULL;D0073
;2017-6;1;NULL;;KZ-1;228010;NULL;0;NULL;D0073
;2017-6;1;59;m;KZ-1;228010;NULL;0;NULL;D0073
;2017-6;1;42;;KZ-1;228010;NULL;0;NULL;D0073
;2017-4;2;40;m;KZ-1;217010;6;0;NULL;D0073
;2017-6;1;41;ž;KZ-1B;135021;6;0;NULL;D0073
;2017-6;1;41;ž;KZ-1;122010;6;0;NULL;D0073
;2017-6;0;NULL;m;KZ-1;258000;6;0;NULL;D0073
;2017-7;1;16;m;KZ-1;204021;6;0;NULL;D0073
;2017-7;1;16;m;KZ-1;204021;6;0;NULL;D0073
;2017-6;1;37;m;KZ-1;191010;NULL;0;NULL;D0073
;2017-7;2;26;m;KZ-1B;307040;6;0;.00;D0073
;2017-6;1;60;m;KZ-1;204010;NULL;0;NULL;D0073
;2016-7;0;44;m;KZ-1;192020;6;0;NULL;D0073
;2017-7;1;39;m;KZ-1B;122010;NULL;0;NULL;D0073
;2017-7;1;54;ž;KZ-1;208050;6;0;NULL;D0073
;2017-8;1;62;m;KZ-1B;220010;6;0;NULL;D0073
;2017-7;1;26;m;KZ-1B;141010;6;0;NULL;D0073
;2017-7;1;26;m;KZ-1B;220010;6;0;NULL;D0073
;2017-7;1;16;m;KZ-1;204021;NULL;0;NULL;D0073
;2017-5;1;54;ž;KZ-1;251010;6;0;620.00;D0073
;2017-5;1;NULL;ž;KZ-1;251010;6;0;.00;D0073
;2017-5;1;48;ž;KZ-1;251010;6;0;NULL;D0073
;2017-5;1;41;ž;KZ-1;251010;6;0;NULL;D0073
;2017-5;1;54;ž;KZ-1;258000;6;0;510.00;D0073
;2017-5;1;NULL;ž;KZ-1;258000;6;0;510.00;D0073
;2017-5;1;48;ž;KZ-1;258000;6;0;.00;D0073
;2017-5;1;41;ž;KZ-1;258000;6;0;205.38;D0073
;2017-7;2;23;m;KZ-1;323010;6;0;.00;D0073
;2017-7;1;45;m;KZ-1;122021;6;0;NULL;D0073
;2017-4;2;21;m;KZ-1B;186010;6;0;350.00;D0073
;2017-7;1;36;m;KZ-1;283010;6;0;.00;D0073
;2017-7;1;16;m;KZ-SRS;103020;6;0;NULL;D0073
;2017-7;1;48;m;KZ-SRS;103020;6;0;NULL;D0073
;2017-7;1;48;m;KZ-SRS;103020;6;0;NULL;D0073
;2017-7;1;46;m;KZ-1;223010;6;0;.00;D0073
;2017-7;1;48;m;KZ-1;223010;6;0;.00;D0073
;2017-8;1;28;ž;KZ-1B;204010;6;0;NULL;D0073
;2017-8;1;33;m;KZ-1C;135010;6;0;NULL;D0073
;2017-8;1;55;m;KZ-1B;135010;6;0;NULL;D0073
;2017-8;1;55;m;KZ-1;213010;6;0;.00;D0073
;2017-8;1;55;ž;KZ-1;213010;6;0;NULL;D0073
;2017-8;1;NULL;;KZ-1B;228010;6;0;.00;D0073
;2017-8;1;33;m;KZ-1B;228010;6;0;NULL;D0073
;2017-8;1;62;ž;KZ-1;204021;NULL;0;NULL;D0073
;2017-8;1;35;ž;KZ-1B;192020;6;0;.00;D0073
;2017-9;1;32;m;KZ-1;208010;NULL;0;NULL;D0073
;2017-9;1;43;ž;KZ-1B;191010;6;0;.00;D0073
;2017-9;1;59;m;KZ-1B;191010;6;0;.00;D0073
;2017-9;1;45;m;KZ-1;208050;NULL;0;NULL;D0073
;2017-9;1;36;ž;KZ-1B;284020;NULL;0;NULL;D0073
;2017-10;1;36;ž;KZ-1B;190010;6;0;NULL;D0073
;2017-6;1;40;m;KZ-1;122010;6;0;NULL;D0073
;2017-6;1;40;m;KZ-1;205020;6;0;NULL;D0073
;2017-9;1;42;m;KZ-1;204021;6;0;NULL;D0073
;2017-9;1;54;m;KZ-1;208050;6;0;NULL;D0073
;2017-8;1;36;ž;KZ-1;257030;6;0;NULL;D0073
;2017-9;3;27;m;KZ-1;284020;NULL;0;NULL;D0073
;2017-9;1;57;m;KZ-1;297031;6;0;NULL;D0073
;2017-9;1;22;m;KZ-1;297031;6;0;756.84;D0073
;2017-2;1;52;m;KZ-1B;122010;6;0;.00;D0073
;2017-9;1;36;m;KZ-1;204021;6;0;NULL;D0073
;2017-9;1;18;m;KZ-1;204021;NULL;0;NULL;D0073
;2017-9;1;18;m;KZ-1B;204010;6;0;.00;D0073
;2017-9;1;19;ž;KZ-1;204021;NULL;0;NULL;D0073
;2017-9;1;29;m;KZ-1;204021;NULL;0;NULL;D0073
;2017-9;1;47;m;KZ-1;187010;NULL;0;NULL;D0073
;2017-8;1;34;m;KZ-1B;192010;6;0;NULL;D0073
;2017-6;7;57;ž;KZ-1;258000;6;0;NULL;D0073
;2017-6;7;39;ž;KZ-1;258000;6;0;.00;D0073
;2017-6;7;52;ž;KZ-1;258000;6;0;NULL;D0073
;2017-6;7;31;m;KZ-1;258000;6;0;NULL;D0073
;2017-9;1;36;ž;KZ-1;204021;6;0;NULL;D0073
;2017-9;2;54;m;KZ-1B;307010;6;0;NULL;D0073
;2017-9;1;NULL;m;KZ-1;220010;6;0;NULL;D0073
;2015-12;1;38;ž;KZ-1;211010;NULL;0;NULL;D0073
;2017-5;1;49;m;KZ-1;252013;NULL;0;NULL;D0073
;2017-9;1;20;m;KZ-1;204021;NULL;0;NULL;D0073
;2017-8;1;NULL;;KZ-1B;196010;NULL;0;NULL;D0073
;2017-8;1;35;;KZ-1B;196010;6;0;NULL;D0073
;2017-5;1;34;ž;KZ-1B;192020;6;0;NULL;D0073
;2017-9;1;NULL;;KZ-1B;211010;6;0;30.00;D0073
;2017-9;1;27;m;KZ;216010;6;0;NULL;D0073
;2017-9;1;64;m;KZ-1;204021;6;0;NULL;D0073
;2017-9;1;34;m;KZ-1;204021;6;0;.00;D0073
;2017-9;7;39;ž;KZ-1C;135021;6;0;NULL;D0073
;2017-9;1;40;ž;KZ-1;204021;6;0;NULL;D0073
;2017-9;1;68;m;KZ-1C;135010;6;0;.00;D0073
;2017-9;1;18;ž;KZ-1;204010;6;0;NULL;D0073
;2015-4;7;48;m;KZ-1;257030;6;0;83.99;D0073
;2015-3;1;27;m;KZ-1;122010;6;0;.00;D0073
;2015-4;0;53;m;KZ-1;235020;6;0;1000.00;D0073
;2015-4;0;53;ž;KZ-1;284010;6;0;1850.00;D0073
;2015-5;1;47;m;KZ-1;123010;6;0;.00;D0073
;2015-5;0;25;m;KZ-1;252011;6;0;.00;D0073
;2015-6;1;NULL;;KZ-1;228010;6;0;.00;D0073
;2015-6;1;48;m;KZ-1;213031;6;0;.00;D0073
;2015-6;1;48;m;KZ-1;213031;6;0;.00;D0073
;2015-6;1;40;m;KZ-1;213031;6;0;.00;D0073
;2015-6;1;40;m;KZ-1;213031;NULL;0;NULL;D0073
;2015-7;1;53;ž;KZ-1;257010;6;0;.00;D0073
;2015-8;1;51;m;KZ-1;215021;6;0;600.00;D0073
;2015-9;1;29;m;KZ-1;191031;6;0;.00;D0073
;2015-10;1;59;m;KZ-1;196010;6;0;.00;D0073
;2015-10;0;31;;KZ-1;249010;6;0;320.00;D0073
;2015-10;0;31;m;KZ-1;249010;6;0;.00;D0073
;2015-11;1;54;m;KZ-1;220010;NULL;0;NULL;D0073
;2015-11;1;34;m;KZ-1;191010;6;0;.00;D0073
;2015-8;1;28;m;KZ-1;228010;6;0;.00;D0073
;2015-11;1;28;m;KZ-1;228010;NULL;0;NULL;D0073
;2015-11;1;NULL;;KZ-1;228010;6;0;.00;D0073
;2015-12;1;34;m;KZ-1;201042;6;0;.00;D0073
;2015-12;1;58;m;KZ-1B;135010;6;0;.00;D0073
;2016-2;1;31;m;KZ-1B;252013;6;0;.00;D0073
;2016-2;1;NULL;;KZ;258010;6;0;.00;D0073
;2016-2;1;47;m;KZ;258010;6;0;20.00;D0073
;2016-2;1;45;ž;KZ;258010;6;0;42553.00;D0073
;2016-3;1;57;ž;KZ-1;135010;NULL;0;.00;D0073
;2016-3;1;50;m;KZ-1;199010;NULL;0;NULL;D0073
;2016-3;1;32;ž;KZ-1B;209010;6;0;3249.54;D0073
;2016-3;1;41;ž;KZ-1;228010;6;0;735.00;D0073
;2016-4;1;NULL;;KZ-1;196010;NULL;0;NULL;D0073
;2016-3;2;37;m;KZ-1;217021;6;0;.00;D0073
;2017-2;1;15;m;KZ-1;204021;6;0;6.mar;D0073
;2017-2;1;42;m;KZ-1;191010;6;0;sep.87;D0073
;2016-4;1;25;m;KZ-1B;135021;NULL;0;NULL;D0073
;2017-2;1;31;ž;KZ-1;204021;NULL;0;NULL;D0073
;2017-3;1;37;m;KZ-1;211010;NULL;0;NULL;D0073
;2017-2;1;19;m;KZ-1B;135021;6;0;.00;D0073
;2017-3;1;71;m;KZ-1;211010;6;0;.00;D0073
;2017-2;1;54;m;KZ-1;191010;6;0;.00;D0073
;2017-2;1;45;m;KZ-1;251010;6;0;.00;D0073
;2017-2;1;32;m;KZ-1;296021;6;0;10.00;D0073
;2017-2;1;48;;KZ-1;205011;NULL;0;NULL;D0073
;2017-3;2;31;ž;KZ-1;253010;6;0;600.00;D0073
;2016-8;1;53;m;KZ-1;209021;6;0;.00;D0073
;2017-3;1;16;m;KZ-1;204021;6;0;.00;D0073
;2017-3;7;16;ž;KZ-1;296021;6;0;.00;D0073
;2017-3;7;15;ž;KZ-1;296021;6;0;.00;D0073
;2017-3;7;16;m;KZ-1;296021;NULL;0;NULL;D0073
;2017-3;1;14;m;KZ-1;211051;6;0;300.00;D0073
;2017-2;1;39;m;KZ-1;204021;6;0;.00;D0073
;2017-2;1;33;m;KZ-1B;135010;6;0;.00;D0073
;2017-2;1;54;m;KZ-1;220010;6;0;.00;D0073
;2017-3;1;30;m;KZ-1;299031;6;0;.00;D0073
;2017-3;1;30;m;KZ-1;204010;6;0;.00;D0073
;2017-2;1;54;m;KZ-1;204021;6;0;.00;D0073
;2017-2;1;50;m;KZ-1B;135010;6;0;268.46;D0073
;2017-2;1;15;ž;KZ-1;204021;NULL;0;NULL;D0073
;2017-2;1;NULL;m;KZ-1;209010;6;0;.00;D0073
;2017-3;1;16;m;KZ-1;220010;NULL;0;NULL;D0073
;2017-5;2;18;m;KZ-1;186010;NULL;0;NULL;D0073
;2017-3;1;42;ž;KZ-1;192010;NULL;0;NULL;D0073
;2017-3;2;NULL;;KZ-1;228010;6;0;200.00;D0073
;2017-3;2;NULL;m;KZ-1;228010;6;0;.00;D0073
;2017-3;1;NULL;;KZ-1;228010;6;0;.00;D0073
;2017-3;1;57;m;KZ-1;122021;6;0;.00;D0073
;2017-3;0;39;m;KZ-1;192010;6;0;.00;D0073
;2017-3;1;45;m;KZ-1;310010;1;0;.00;D0073
;2017-3;1;31;;KZ-1;310010;1;0;.00;D0073
;2017-3;1;46;m;KZ-1;296021;6;0;.00;D0073
;2017-3;1;35;m;KZ-1;296021;6;0;.00;D0073
;2017-3;1;68;m;KZ-1;296021;6;0;.00;D0073
;2017-3;1;26;ž;KZ-1;192010;6;0;.00;D0073
;2017-3;3;57;ž;KZ-1;257010;6;0;.00;D0073
;2017-3;3;39;ž;KZ-1;257010;NULL;0;NULL;D0073
;2017-3;3;52;ž;KZ-1;257010;NULL;0;NULL;D0073
;2017-3;3;31;m;KZ-1;257010;6;0;.00;D0073
;2017-3;1;71;m;KZ-1;220010;6;0;.00;D0073
;2017-3;1;77;m;KZ-1;220010;6;0;.00;D0073
;2017-3;1;41;m;KZ-1;192020;NULL;0;NULL;D0073
